,Page,Title,Price,Location,Beds,Baths,Area,Badge,Date Added,URL
61,3,10 Marla House For sale In Top City 1 - Block A,PKR 4.5 Crore,"Top City 1 - Block A, Top City 1",5.0,6.0,10 Marla,hot,Added: 4 hours ago,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_10_marla_house_for_sale_in_top_city_1_-_block_a-52498119-9231-1.html
62,3,5 Kanal Luxury Farm House For Sale In Gulberg Green Islamabad,PKR 45 Crore,"Gulberg Greens, Gulberg",8.0,7.0,5 Kanal,hot,Added: 48 minutes ago,https://www.zameen.com/Property/gulberg_gulberg_greens_5_kanal_luxury_farm_house_for_sale_in_gulberg_green_islamabad-52756978-8312-1.html
63,3,Sector C1 10 Marla House for sale In Bahria enclave Islamabad,PKR 4.6 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10 Marla,hot,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_sector_c1_10_marla_house_for_sale_in_bahria_enclave_islamabad-53017298-11987-1.html
64,3,Sector G 9/5 Marla House for Sale In Bahria enclave Islamabad,PKR 4.5 Crore,"Bahria Enclave - Sector G, Bahria Enclave",5.0,6.0,9 Marla,hot,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_g_sector_g_9_5_marla_house_for_sale_in_bahria_enclave_islamabad-53029527-11984-1.html
65,3,Sector C1 10 Marla House for Sale In Bahria enclave Islamabad,PKR 4.7 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10 Marla,hot,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_sector_c1_10_marla_house_for_sale_in_bahria_enclave_islamabad-53045385-11987-1.html
66,3,Sector J 10 Marla House for Sale In Bahria enclave Islamabad,PKR 4.3 Crore,"Bahria Enclave - Sector J, Bahria Enclave",5.0,6.0,10 Marla,hot,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_sector_j_10_marla_house_for_sale_in_bahria_enclave_islamabad-53091210-11981-1.html
67,3,Sector B1 5 Marla House for sale In Bahria enclave Islamabad,PKR 2.5 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3.0,4.0,5 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_sector_b1_5_marla_house_for_sale_in_bahria_enclave_islamabad-53021996-11972-1.html
68,3,Sector N 5 Marla House For Sale In Bahria Enclave Islamabad,PKR 2.5 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3.0,4.0,5 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_5_marla_house_for_sale_in_bahria_enclave_islamabad-53026203-11975-1.html
69,3,Sector A 10 Marla House With Basement for Sale In Bahria enclave Islamabad,PKR 5.5 Crore,"Bahria Enclave - Sector A, Bahria Enclave",6.0,6.0,10 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_sector_a_10_marla_house_with_basement_for_sale_in_bahria_enclave_islamabad-53077248-11970-1.html
70,3,Sector C1 10 Marla House For Sale In Bahria Enclave Islamabad,PKR 4.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_sector_c1_10_marla_house_for_sale_in_bahria_enclave_islamabad-53029541-11987-1.html
71,3,Barnd New 2bedroom Apartment Available For Sale corner,PKR 75 Lakh,"Margalla View Society - Block C, Margalla View Housing Society",2.0,2.0,3.8 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/margalla_view_housing_society_margalla_view_society_-_block_c_barnd_new_2bedroom_apartment_available_for_sale_corner-53357975-3163-1.html
72,3,7 Marla Barnd New Single Storey House Available For Sale,PKR 1.75 Crore,"Gulshan-e-Sehat 1 - Hamza Block, Gulshan-e-Sehat 1",3.0,3.0,7 Marla,,Added: 2 hours ago,https://www.zameen.com/Property/gulshan_e_sehat_1_gulshan-e-sehat_1_-_hamza_block_7_marla_barnd_new_single_storey_house_available_for_sale-53226096-3264-1.html
73,3,5 Kanal Farm House Available For Sale In D-17 Islamabad,PKR 22 Crore,"Margalla View Housing Society, D-17",10.0,7.0,5 Kanal,,Added: 2 hours ago,https://www.zameen.com/Property/d_17_margalla_view_housing_society_5_kanal_farm_house_available_for_sale_in_d-17_islamabad-53314031-3160-1.html
74,3,Single Story House Available For Sale E18 Gulshan Sehat,PKR 1.1 Crore,"Gulshan-e-Sehat 1 - Hamza Block, Gulshan-e-Sehat 1",3.0,3.0,5 Marla,,Added: 2 hours ago,https://www.zameen.com/Property/gulshan_e_sehat_1_gulshan-e-sehat_1_-_hamza_block_single_story_house_available_for_sale_e18_gulshan_sehat-53316137-3264-1.html
75,4,1 Bed Semi Furnished Apartment For Sale On Easy Installments In DownTown The Walk ParkView City Islamabad,PKR 1.5 Crore,"Elanza Creeks, Park View City",1.0,1.0,3.2 Marla,super hot,Added: 6 hours ago,https://www.zameen.com/Property/park_view_city_elanza_creeks_1_bed_semi_furnished_apartment_for_sale_on_easy_installments_in_downtown_the_walk_parkview_city_islamabad-52548135-18351-1.html
