,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Other Facilities,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Built in year,Parking Spaces,Floor,Lobby in Building,Elevators,Service Elevators in Building,Floor in Building,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Community Swimming Pool,Community Gym,Swimming Pool,Sauna,Jacuzzi,Security Staff,Maintenance Staff,Facilities for Disabled,Laundry or Dry Cleaning Facility,Communal/Shared Kitchen,Storey Unit
153,Flat,19.64,4.0,13.4,2.0,F-8,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR. PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.","Built in year: 2020, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors in Building: 30, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed, Other Facilities",False,False,False,False,0,2020.0,1.0,,1.0,4.0,1.0,30.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
154,Flat,17.17,5.0,11.7,3.0,F-8,"Purchase Directly from Centaurus Managment Three Bedroom Apartment with Maid Room Demand: PKR 171,730,000/- Possession With 50% Downpayment. 50% Payment in Instalments Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.","Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2023.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
160,Flat,1.3,2.0,5.8,2.0,Mumtaz City,"All size of houses, plots & apartments Available in Top City, Mumtaz city ,PECHS & allover Islamabad Rawalpindi . . . . Please contact on call or WhatsApp before visit. . . . . All pics and videos which have been given on advertisement. These are just for demonstration. . . . . . Please contact on WhatsApp for original pics and videos. . . In Future Zero Point of Islamabad 0 km to motorway interchange Islamabad 0 km to new airport Islamabad 0 km to Kashmir Highway Islamabad 0 km to metro bus station 3 km to CPEC Markets Banks Schools Parks Shopping malls Underground electricity Water supply Lake Zoo Carpet roads","Built in year: 2025, Parking Spaces: 8, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 8, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2025.0,8.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
166,Flat,0.65,1.0,2.0,1.0,Ghauri Town,Furnished Apartment Is Available For Sale On Main Expressway Islamabad 1 Bed 1 Bath Tv Lounge Kitchen Car Parking Lift Installed 24/7 Security On Main Expressway Islamabad Land Mark Height Near To Koral Chowk Solar System Installed Contact Us For More Information And Direct Deal.,"Built in year: 1, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",False,True,False,False,0,1.0,1.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
167,Flat,1.85,3.0,5.5,3.0,Gulberg,"Three Bed Flat Available For Sale. Buy your home with desired facilities in a posh area of Islamabad. Sale only The city of Islamabad is heaven for investors and buyers. A Flat in Gulberg Greens - Block B is an opportunity that should not be missed, so make the most out of it while it lasts. And along with its reasonable Rs. 18500000 price tag, this property option is definitely a keeper. Looking for a Flat that fits your budget? We got you covered! Fully-furnished spaces for sale don't become available easily and if that's what you want, your search can definitely end here. Purchasing this 1226 Square Feet Flat is a decision you will not regret. Find out the basic features of the property below. A well-managed mosque near the Flat is ideal for community building. The apartment lobby is well-designed to facilitate visitors. A kids' play area near the property is great for outdoor play and activity. The service elevators in the building are used to transport goods and luggage for every resident. Double glazed windows are a stylish addition to the Flat that comes with several benefits. The society's waste disposal system ensures cleanliness at all times. Want to know more? Contact us now.","Built in year: 2024, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 4, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2024.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
173,Flat,1.8,2.0,5.2,2.0,E-11,"Qurtuba heights Street 15 , E-11/4 this building is only for families, 2 bed Fully Furnished Corner apartment with margala view, 2 bed rooms, with attached bath, TV lounge , kitchen , terrace, fully furnished , rental value : 90000 to 1 lac per month, Other features: family oriented building , underground car parking , 1 passenger lift with 24 hour backup generator , Solar installed for lift and lobby lights, 1 cargo lift installed, mosque , park/ walking track on rooftop only for families, garbage shoot, maintenance staff available , CCTV , 24 hour security , separate electric (WAPDA) meters, well maintained building, safe and secured environment for families, for visit contact on given number :","Built in year: 2019, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 6, Floors in Building: 8, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed, Other Facilities",False,True,False,True,0,2019.0,1.0,6.0,1.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
174,Flat,0.8,2.0,3.6,2.0,DHA Defence,2 Bed Tv lounge Kitchen 2 Bathroom Area 804 sq. ft Near to mosque Family park Car parking Security stuff Maintenance stuff Water filtration plant Back up generator Near to Punjab cash & carry Rahat beakers Jacaranda family club Easily access to main G. T Road,"Built in year: 2024, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors in Building: 7, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2024.0,1.0,,1.0,2.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
184,Flat,0.82,3.0,6.6,3.0,I-16,"B-Type Apartment Available For Sale, Spacious 3 bedroom apartment, with sprite sarwent room, located in a gated community (PHA I-16/3). This property offers 24/7 security, gas, water, and electricity supply. Situated on the 5th floor, this apartment is perfect for those looking for a secure and comfortable living space. Key Features: - 3 bedrooms - 3 bathrooms - 1 TV lounge - 1 kitchen - B type layout - Gated community - 24/7 security Guard - Gas supply - Water supply - Electricity available for more information please contact us:",,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Kitchens: 1, Store Rooms: 1",,,,Security Staff,False,False,False,False,1,,,,,,,,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,,,
185,Flat,0.48,2.0,4.1,2.0,I-16,"""2 Bedroom's Apartment for Sale in PHA I-16/3 Smart Investment Opportunity This 2-bedroom 2bath TV lounge kitchen apartment in PHA. Key Features: - 2 spacious bedrooms - TV lounge and kitchen - Balcony with natural light - 2 washrooms - 24/7 security guards - Gated community - 2 Elevator's - Near market and mosque - Third-floor location Investor Price: A great opportunity for savvy investors. This property is expected to appreciate in value over time, making it a smart investment for the future. Contact us for more details!""","Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,,1.0,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,3.0
187,Flat,1.1,2.0,4.9,1.0,Bahria Town,"Bahria Enclave 1 Bed Cube Apartment 1100 sq feet Possession Utility Circulation Charges paid Sun facing Available for Sale Note: The best Investment and Living opportunity is finally here. A project situated in the Heart of Bahria Enclave Islamabad Sector A. Details of Apartment are as under: Floor 5th Sun facing Apartment No. . . Covered Area 1100 Sq/ft Possession Utility Charges Paid Circulation Charges paid in this Apartment Parking Charges Not Paid More Options are available in Bahria Enclave Cube Apartment Building Layout Plan are as under: Ground Floor Plus 9 Floors Levels Highly Recommended for Investment, Rental and Living Purpose Bahria Town, The Name Of Trust Feel Free to Contact for Further Details","Built in year: 7, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 9, Elevators: 6, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities",False,False,False,False,0,7.0,1.0,1.0,1.0,6.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
